,label,时间,原始重量,稳定重量,轴重,su_ad,wpu_x,wpu_y,wpu_z,su_x,su_y,su_z,原始重量_diff,稳定重量_diff,轴重_diff,su_ad_diff,wpu_x_diff,wpu_y_diff,wpu_z_diff,su_x_diff,su_y_diff,su_z_diff,轨迹时间,速度,估计重量
42,0,2023-12-24 00:02:06,-10109,0,-10343,33697,12699,-581,77281,2845,-609,86967,122,0,155,-14,26,14,-26,11,0,-11,2023-12-24 00:05:21,0.0,0.0
43,0,2023-12-24 00:02:09,-10254,0,-10476,33709,12673,-593,77307,2834,-609,86978,-145,0,-133,12,-26,-12,26,-11,0,11,2023-12-24 00:05:21,0.0,0.0
44,0,2023-12-24 00:02:13,-10164,0,-10176,33682,12683,-566,77298,2828,-609,86978,90,0,300,-27,10,27,-9,-6,0,0,2023-12-24 00:05:21,0.0,0.0
45,0,2023-12-24 00:02:16,-10120,0,-10164,33681,12692,-567,77289,2828,-609,86978,44,0,12,-1,9,-1,-9,0,0,0,2023-12-24 00:05:21,0.0,0.0
46,0,2023-12-24 00:02:19,-10287,0,-10131,33678,12660,-563,77322,2834,-609,86973,-167,0,33,-3,-32,4,33,6,0,-5,2023-12-24 00:05:21,0.0,0.0
47,0,2023-12-24 00:02:22,-10242,0,-10365,33699,12662,-583,77319,2845,-609,86967,45,0,-234,21,2,-20,-3,11,0,-6,2023-12-24 00:05:21,0.0,0.0
48,0,2023-12-24 00:02:24,-10276,0,-10320,33695,12660,-580,77320,2845,-609,86967,-34,0,45,-4,-2,3,1,0,0,0,2023-12-24 00:05:21,0.0,0.0
49,0,2023-12-24 00:02:27,-10164,0,-10309,33694,12693,-578,77288,2834,-609,86973,112,0,11,-1,33,2,-32,-11,0,6,2023-12-24 00:05:21,0.0,0.0
50,0,2023-12-24 00:02:30,-10020,0,-10265,33690,12683,-574,77299,2834,-609,86973,144,0,44,-4,-10,4,11,0,0,0,2023-12-24 00:05:21,0.0,0.0
51,0,2023-12-24 00:02:33,-10376,0,-10387,33701,12680,-585,77300,2834,-609,86978,-356,0,-122,11,-3,-11,1,0,0,5,2023-12-24 00:05:21,0.0,0.0
52,0,2023-12-24 00:02:37,-9986,0,-10087,33674,12681,-559,77301,2839,-609,86973,390,0,300,-27,1,26,1,5,0,-5,2023-12-24 00:05:21,0.0,0.0
53,0,2023-12-24 00:02:40,-10309,0,-10153,33680,12668,-565,77313,2834,-609,86973,-323,0,-66,6,-13,-6,12,-5,0,0,2023-12-24 00:05:21,0.0,0.0
54,0,2023-12-24 00:02:43,-10254,0,-10387,33701,12675,-585,77306,2834,-609,86978,55,0,-234,21,7,-20,-7,0,0,5,2023-12-24 00:05:21,0.0,0.0
55,0,2023-12-24 00:02:46,-10247,0,-10287,33692,12686,-576,77295,2834,-609,86978,7,0,100,-9,11,9,-11,0,0,0,2023-12-24 00:05:21,0.0,0.0
56,0,2023-12-24 00:02:48,-10231,0,-10220,33686,12684,-571,77297,2839,-609,86973,16,0,67,-6,-2,5,2,5,0,-5,2023-12-24 00:05:21,0.0,0.0
57,0,2023-12-24 00:02:51,-9920,0,-10075,33673,12683,-558,77298,2834,-609,86978,311,0,145,-13,-1,13,1,-5,0,5,2023-12-24 00:05:21,0.0,0.0
58,0,2023-12-24 00:02:54,-10176,0,-10031,33669,12669,-559,77313,2834,-604,86978,-256,0,44,-4,-14,-1,15,0,5,0,2023-12-24 00:05:21,0.0,0.0
59,0,2023-12-24 00:02:57,-9986,0,-10009,33667,12660,-557,77322,2839,-604,86967,190,0,22,-2,-9,2,9,5,0,-11,2023-12-24 00:05:21,0.0,0.0
60,0,2023-12-24 00:03:01,-10031,0,-10142,33679,12672,-569,77310,2834,-604,86973,-45,0,-133,12,12,-12,-12,-5,0,6,2023-12-24 00:05:21,0.0,0.0
